# PQC Benchmark Suite (Local PC)
# Using PQClean reference C implementations
# Timer: QueryPerformanceCounter (10000000 ticks/sec)
#
algorithm,operation,security_level,time_us,run_number
ML-DSA,sign,87,4448,33
ML-DSA,sign,87,2414,34
ML-DSA,sign,87,2505,35
ML-DSA,sign,87,7772,36
ML-DSA,sign,87,8588,37
ML-DSA,sign,87,5149,38
ML-DSA,sign,87,4221,39
ML-DSA,sign,87,2506,40
ML-DSA,sign,87,5263,41
ML-DSA,sign,87,7105,42
ML-DSA,sign,87,6676,43
ML-DSA,sign,87,5181,44
ML-DSA,sign,87,2485,45
ML-DSA,sign,87,2411,46
ML-DSA,sign,87,12876,47
ML-DSA,sign,87,3467,48
ML-DSA,sign,87,15160,49
ML-DSA,sign,87,7555,50
ML-DSA,sign,87,3555,51
ML-DSA,sign,87,5119,52
ML-DSA,sign,87,4467,53
ML-DSA,sign,87,2758,54
ML-DSA,sign,87,4163,55
ML-DSA,sign,87,7035,56
ML-DSA,sign,87,5904,57
ML-DSA,sign,87,5107,58
ML-DSA,sign,87,4781,59
ML-DSA,sign,87,4732,60
ML-DSA,sign,87,2550,61
ML-DSA,sign,87,6489,62
ML-DSA,sign,87,4636,63
ML-DSA,sign,87,3423,64
ML-DSA,sign,87,11301,65
ML-DSA,sign,87,11444,66
ML-DSA,sign,87,4928,67
ML-DSA,sign,87,6243,68
ML-DSA,sign,87,3400,69
ML-DSA,sign,87,5321,70
ML-DSA,sign,87,5837,71
ML-DSA,sign,87,7604,72
ML-DSA,sign,87,5326,73
ML-DSA,sign,87,12322,74
ML-DSA,sign,87,3581,75
ML-DSA,sign,87,4587,76
ML-DSA,sign,87,2774,77
ML-DSA,sign,87,3083,78
ML-DSA,sign,87,5548,79
ML-DSA,sign,87,5629,80
ML-DSA,sign,87,2771,81
ML-DSA,sign,87,13763,82
ML-DSA,sign,87,6609,83
ML-DSA,sign,87,9484,84
ML-DSA,sign,87,10730,85
ML-DSA,sign,87,5724,86
ML-DSA,sign,87,9110,87
ML-DSA,sign,87,4318,88
ML-DSA,sign,87,5253,89
ML-DSA,sign,87,3246,90
ML-DSA,sign,87,2470,91
ML-DSA,sign,87,4494,92
ML-DSA,sign,87,3496,93
ML-DSA,sign,87,2646,94
ML-DSA,sign,87,2671,95
ML-DSA,sign,87,7302,96
ML-DSA,sign,87,4220,97
ML-DSA,sign,87,5140,98
ML-DSA,sign,87,4786,99
ML-DSA,sign,87,7829,100
# SUMMARY ML-DSA sign 87: mean=5179 min=2259 max=15160 stddev=2801.0 cv=54.09% (n=100)
ML-DSA,verify,87,1979,1
ML-DSA,verify,87,2684,2
ML-DSA,verify,87,2140,3
ML-DSA,verify,87,1988,4
ML-DSA,verify,87,1912,5
ML-DSA,verify,87,2536,6
ML-DSA,verify,87,2731,7
ML-DSA,verify,87,2894,8
ML-DSA,verify,87,2979,9
ML-DSA,verify,87,2177,10
ML-DSA,verify,87,1879,11
ML-DSA,verify,87,1725,12
ML-DSA,verify,87,1721,13
ML-DSA,verify,87,1746,14
ML-DSA,verify,87,1673,15
ML-DSA,verify,87,1660,16
ML-DSA,verify,87,1673,17
ML-DSA,verify,87,1692,18
ML-DSA,verify,87,1917,19
ML-DSA,verify,87,1861,20
ML-DSA,verify,87,1742,21
ML-DSA,verify,87,1657,22
ML-DSA,verify,87,1620,23
ML-DSA,verify,87,1631,24
ML-DSA,verify,87,1635,25
ML-DSA,verify,87,1672,26
ML-DSA,verify,87,1669,27
ML-DSA,verify,87,1745,28
ML-DSA,verify,87,2054,29
ML-DSA,verify,87,1681,30
# SUMMARY ML-DSA verify 87: mean=1956 min=1620 max=2979 stddev=396.5 cv=20.27% (n=30)
# CORRECTNESS: ML-DSA-87 signature verifies OK
# === ML-DSA benchmarks complete ===
